ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Genre,Price,Items in Stock
856,"The Paradise Snare (Star Wars: The Han Solo Trilogy, Volume 1)",A. C. Crispin,1998,Spectra Books,Young Adult,33,1
857,A Year of Full Moons,Madelyn Arnold,2002,Stonewall Inn Editions,Science Fiction,48,10
858,Alanna: The First Adventure (Song of the Lioness (Paperback)),Tamora Pierce,1989,Random House Children's Books,Mystery,49,6
859,"The Beans of Egypt, Maine",Carolyn Chute,1986,Warner Books,Biography,33,6
860,Warrior Moon,Sara Orwig,1995,Zebra Books,Young Adult,13,6
861,The Funhouse,Dean R. Koontz,1994,Berkley Publishing Group,Young Adult,16,2
862,Cold Iron,Melisa Michaels,1997,Roc,Horror,43,1
863,Circle of Three #12: Written in the Stars (Circle of Three),Isobel Bird,2001,Avon,Fantasy,12,7
864,The Space Merchants,Frederik Pohl,1987,St Martins Pr,Biography,57,8
865,DREAMSNAKE,VONDA MCINTYRE,1986,Dell,Historical Fiction,16,2
866,Titan,John Varley,1980,Berkley Publishing Group,Biography,35,10
867,The Year They Burned the Books,Nancy Garden,1999,Farrar Straus Giroux,Horror,18,10
868,A Density of Souls,Christopher Rice,2001,Miramax,Young Adult,39,10
869,Slow River,Nicola Griffith,1996,Ballantine Books,Mystery,56,10
870,Changer,Jane Lindskold,1998,Eos,Mystery,54,2
871,Trixie Belden and the Mystery Off Glen Road (Mystery Off Glen Road),Julie Campbell,1977,Random House Childrens Books,Biography,47,3
872,Lark in the Morning,Nancy Garden,1991,Farrar Straus &amp; Giroux,Fantasy,49,3
873,Saving Grace,LEE SMITH,1996,Ballantine Books,Young Adult,43,4
874,Lena (50 State Quarters),JACQUELINE WOODSON,2000,Laurel Leaf,Young Adult,18,10
875,I Hadn't Meant to Tell You This,Jacqueline Woodson,1995,Laurel-Leaf Books,Horror,17,10
876,Raise the Roof: The Inspiring Inside Story of the Tennessee Lady Vols' Undefeated 1997-98 Season,Pat Head Summitt,1998,Broadway Books,Fantasy,27,1
877,"Ufos, JFK and Elvis: Conspiracies You Don't Have to Be Crazy to Believe",Richard Belzer,1999,Ballantine Books,Self-help,40,1
878,Hannibal,Thomas Harris,1999,Del Sol Press,Horror,16,9
879,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books,Horror,58,10
880,Mostly Harmless,Douglas Adams,2000,Ballantine Books,Mystery,24,9
881,The Thorn Birds (Modern Classics),Colleen McCullough,1998,Wings,Biography,16,7
882,Dreamcatcher,Stephen King,2001,Scribner,Fantasy,45,9
883,Sudden Mischief (Spenser Mysteries (Hardcover)),Robert B. Parker,1998,Putnam Pub Group,Thriller,47,5
884,Elements of Programming With Perl,Andrew L. Johnson,1999,Manning Publications,Young Adult,28,6
885,To Catch a Cat,Marian Babson,2002,St. Martin's Minotaur,Biography,12,2
886,"People of the Wolf (The First North Americans series, Book 1)",W. Michael Gear,1992,Tor Books,Horror,37,5
887,The Door to December,Dean R. Koontz,2002,Signet Book,Fantasy,58,9
888,College Majors and Careers: A Resource Guide for Effective Life Planning (College Majors and Careers),Paul Phifer,1999,Ferguson Publishing Company,Thriller,23,10
889,Smilla's Sense of Snow,Peter Hoeg,1997,Island,Self-help,34,7
890,The Grass Is Always Greener over the Septic Tank,Erma Bombeck,1988,Fawcett Books,Fantasy,10,8
891,Viaggi del tempo immobile (I coralli),Roberto Vecchioni,1996,Einaudi,Fantasy,14,10
892,Rumpole on Trial,John Mortimer,1992,Penguin USA,Science Fiction,30,10
893,Billy Bathgate,E. L. Doctorow,1989,Random House,Science Fiction,33,7
894,Citizens: A Chronicle of the French Revolution,Simon Schama,1989,Random House Inc,Biography,11,10
895,The Man Who Killed the Deer,Frank Waters,1970,Ohio University Press,Science Fiction,44,2
896,The Music of Dolphins (Apple Signature Edition),Karen Hesse,1998,Hyperion Books for Children,Biography,17,7
897,Sunwing (Aladdin Fantasy),Kenneth Oppel,2001,Aladdin,Self-help,50,7
898,Caddie Woodlawn - Newbery Promo '99 (Aladdin Fiction),Carol Ryrie Brink,1999,Aladdin,Fantasy,40,1
899,The Hork-Bajir Chronicles (Animorphs Series),K. A. Applegate,1998,Scholastic,Fantasy,54,5
900,The Silver Chair (full color) (Narnia),C. S. Lewis,2000,HarperTrophy,Romance,52,4
901,The Magician's Nephew (Narnia),C. S. Lewis,1994,HarperTrophy,Romance,44,2
902,"Circles in the Stream (Avalon: Web of Magic, 1)",Shelly R. Roberts,2001,Scholastic,Fantasy,17,10
903,High Wizardry: The Third Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books,Self-help,31,2
904,Deep Wizardry: The Second Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books,Thriller,18,9
905,So You Want to Be a Wizard: The First Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books,Self-help,34,3
906,Going for Great (Ag Fiction (American Girl)),Carolee Brockmann,1999,Pleasant Company Publications,Thriller,28,8
907,"All That Glitters (Avalon, 2)",Rachel Roberts,2001,Scholastic,Self-help,25,2
908,"Cry of the Wolf (Avalon, 3)",Rachel Roberts,2001,Scholastic,Historical Fiction,25,8
909,"The Secret of the Unicorn (Avalon Web of Magic, 4)",Rachel Roberts,2000,Scholastic Paperbacks,Horror,33,4
910,Avalon: Web Of Magic #5: Spellsinger,Rachel Roberts,2002,Scholastic Paperbacks,Fantasy,51,1
911,Trial by Fire,Rachel Roberts,2002,Scholastic Paperbacks,Thriller,18,3
912,"Ties That Bind, Ties That Break (Laurel-Leaf Books)",Lensey Namioka,2000,Laurel-Leaf Books,Mystery,53,7
913,"The Hauntings of Williamsburg, Yorktown, and Jamestown",Jackie Eileen Behrend,1998,John F. Blair Publisher,Fantasy,52,10
914,The Janitor's Boy,Andrew Clements,2001,Aladdin,Romance,33,7
915,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1995,Ballantine Books,Biography,43,9
916,The Giver (21st Century Reference),LOIS LOWRY,1994,Laure Leaf,Romance,58,8
917,The Heavenly Man: The Remarkable True Story of Chinese Christian Brother Yun,Paul Hattaway,2003,Monarch Books,Horror,13,9
918,The Little Book of Chocolate (Little Book Of...(Flammarion)),Alain Stella,2001,Flammarion,Biography,18,9
919,Das Schlampenbuch. ErzÃ?Â¤hlungen. ( neue frau).,Milena Moser,1993,Rowohlt Tb.,Young Adult,35,9
920,Die zwei Gesichter des Januars.,Patricia Highsmith,1974,Diogenes Verlag,Fantasy,18,4
921,Nacht Ã?Â¼ber den Wassern.,Ken Follett,1994,LÃ?Â¼bbe,Romance,58,7
922,Die SÃ?Â¤ulen der Erde. Roman.,Ken Follett,1992,LÃ?Â¼bbe,Science Fiction,31,6
923,A Man Rides Through (Man Rides Through),Stephen Donaldson,1990,Del Rey Books,Self-help,14,6
924,Mirror of Her Dreams (Mordant's Need),STEPHEN R. DONALDSON,1987,Del Rey,Biography,32,9
925,Reader,Bernhard Schlink,0,Phoenix Books,Self-help,10,4
926,The Dead Zone,Stephen King,2004,Signet Book,Science Fiction,19,1
927,The Diary of Ellen Rimbauer: My Life at Rose Red,Ellen Rimbauer,2002,Hyperion Press,Young Adult,28,4
928,A New Germany in a New Europe,Todd Herzog,2000,Routledge,Young Adult,39,3
929,"Belonging in the Two Berlins : Kin, State, Nation (Cambridge Studies in Social and Cultural Anthropology)",John Borneman,1992,Cambridge University Press,Science Fiction,52,3
930,The Great Depression : America 1929-1941,ROBERT S. MCELVAINE,1993,Three Rivers Press,Biography,59,8
931,Lady of the Shroud,Bram Stoker,1989,Amereon Limited,Self-help,29,4
932,"Dark Tide I: Onslaught (Star Wars: The New Jedi Order, Book 2)",Michael A. Stackpole,2000,Del Rey Books,Science Fiction,28,4
933,LONG DARK TEA TIME OF THE SOUL,Douglas Adams,1990,Pocket,Romance,53,6
934,The Return of Simple,Langston Hughes,1995,Hill &amp; Wang,Young Adult,56,7
935,Half Moon Street (Charlotte &amp; Thomas Pitt Novels (Paperback)),Anne Perry,2001,Ballantine Books,Horror,16,5
936,A Minor Indiscretion (Red Dress Ink (Paperback)),Carol Matthews,2003,Red Dress Ink,Fantasy,30,8
937,"For Better, for Worse: A Novel",Carole Matthews,2002,Avon Trade,Self-help,27,3
938,Hidden in Plain View: A Secret Story of Quilts and the Underground Railroad,Jacqueline L. Tobin,2000,Anchor Pub,Biography,51,10
939,The Forest House,Marion Zimmer Bradley,1995,Roc,Romance,51,7
940,American Poetry Since 1970: Up Late,Andrei Codrescu,1988,Four Walls Eight Windows,Historical Fiction,55,7
941,Twin Blessings (Love Inspired (Numbered)),Carolyne Aarsen,2001,Steeple Hill,Romance,27,6
942,West of Dodge: Frontier Stories,Louis L'Amour,1996,Bantam,Mystery,57,1
944,Non-manipulative selling,Anthony J Alessandra,1981,Reston Pub. Co,Biography,50,10
945,Come Before Winter and Share My Hope,Charles R. Swindoll,1985,Word Publishing,Self-help,13,8
946,The Bear and the Dragon,Tom Clancy,2000,G. P. Putnam's Sons,Historical Fiction,54,10
947,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1992,Tor Books,Self-help,14,2
948,Thinking on paper,V. A Howard,1986,W. Morrow,Historical Fiction,28,6
949,Net Force,Tom Clancy,1999,Berkley Publishing Group,Self-help,38,6
950,The Testament,John Grisham,1999,Doubleday Books,Biography,39,5
951,The Internet Church,Walter P. Wilson,2000,W Publishing Group,Biography,11,9
952,The Mp3 and Internet Audio Handbook: Your Guide to the Digital Music Revolution,Bruce Fries,2000,Teamcom Books,Young Adult,54,6
953,The Way Things Ought to Be,"Rush H., III Limbaugh",1992,Pocket Books,Science Fiction,31,9
954,A Time to Kill,JOHN GRISHAM,1992,Dell,Biography,55,3
955,The Truth About Texas: Who Needs to Brag? We'Ve Got the Facts,Anne Dingus,1995,Gulf Publishing Company,Biography,29,5
956,Awakening,Kate Chopin,1982,Avon,Biography,38,5
957,Wall Street's Picks for 2000: An Insider's Guide to the Year's Best Stocks &amp; Mutual Funds (Wall Street's Picks),Kirk Kazanjian,1999,Dearborn Financial Publishing,Young Adult,53,2
958,Poetics of the New American Poetry,Donald Merriam Allen,1974,Grove Press,Fantasy,20,6
959,Patriot Games,Tom Clancy,1992,Berkley Publishing Group,Young Adult,45,1
960,Dead Men Do Tell Tales: The Strange and Fascinating Cases of a Forensic Anthropologist,William Maples,1995,Panel Street Books,Horror,33,4
961,Moonlighting: 148 Great Ways to Make Money on the Side,Carl Hausman,1991,Harpercollins,Thriller,44,3
962,Amanda Miranda,Richard Peck,1981,Harper Mass Market Paperbacks (Mm),Historical Fiction,44,7
963,Chasing the Dime,Michael Connelly,2003,Warner Books,Historical Fiction,35,7
964,Tender Triumph (Sonnet Books),Judith McNaught,1991,Pocket,Science Fiction,28,1
965,The Cat Who Tailed a Thief,Lilian Jackson Braun,1998,Jove Books,Young Adult,44,6
966,Guilt,John T. Lescroart,1998,Island,Horror,28,2
967,On Secret Service,John Jakes,2001,Signet Book,Young Adult,20,4
968,Charming Billy,Alice McDermott,1999,Delta,Young Adult,55,6
969,All the Days of My Life,Hilary Bailey,1986,Fawcett Books,Romance,58,4
970,The Dinner Party,Howard Fast,1991,Dell Publishing Company,Historical Fiction,14,1
971,A Palette for Murder: Murder She Wrote (Murder She Wrote (Paperback)),Jessica Fletcher,1996,Signet Book,Young Adult,23,2
972,Golden Cup,Belva Plain,1987,Dell,Self-help,37,7
973,Murder at the Library of Congress (Capital Crimes (Paperback)),Margaret Truman,2001,Fawcett Books,Self-help,36,7
974,No Safe Place,RICHARD NORTH PATTERSON,1999,Ballantine Books,Self-help,30,5
975,Thorns of Truth,Eileen Goudge,1999,Signet Book,Historical Fiction,37,2
976,Granny Dan,DANIELLE STEEL,2000,"Random House, Inc.",Fantasy,57,5
977,Border Bride,Arnette Lamb,1993,Pocket,Science Fiction,33,7
978,The Penwyth Curse,Catherine Coulter,2004,Jove Books,Historical Fiction,15,10
979,Xanth 15: The Color of Her Panties,Piers Anthony,1992,Eos,Historical Fiction,24,7
980,Der FÃ?Â¼rst der Finsternis. Roman.,Anne Rice,1992,Goldmann,Science Fiction,20,4
981,A Reporter's Life,WALTER CRONKITE,1996,Knopf,Thriller,28,3
982,Jacob Marley's Christmas Carol,Tom Mula,1995,Adams Media Corp,Romance,34,3
983,"Practice Makes Pregnant   Manhattan Multiples (Silhouette Special Edition, 1569)",Lois Faye Dyer,2003,Silhouette,Self-help,26,5
984,"The Secret Lives of Girls: What Good Girls Really Do--Sex Play, Aggression, and Their Guilt",Sharon Lamb,2002,Free Press,Self-help,59,1
985,Hound of the Baskervilles (Aladdin Classics),Sir Arthur Conan Doyle,2000,Aladdin,Mystery,34,9
986,SLEEPING MURDER,AGATHA CHRISTIE,1983,Bantam,Mystery,39,10
987,The Fractal Murders (Pepper Keane Mysteries),Mark Cohen,2004,Mysterious Press,Mystery,43,7
988,"Blowtorch Psycho.Com (Bone Chillers, No 18)",Sherry Shahan,1997,Harpercollins Juvenile Books,Mystery,52,4
989,Final Stand,Helen Myers,2002,Mira,Young Adult,59,2
990,Christmas : A Holiday Treasury,Della Rowland,1994,Andrews McMeel Publishing,Historical Fiction,12,4
991,Magic House of Numbers.,Irving. Adler,1974,Harpercollins Library,Thriller,25,6
992,Lord of the Silent: A Novel of Suspense,Elizabeth Peters,2002,Avon,Romance,60,10
993,Whisper to Me of Love,Shirlee Busbee,1991,Harper Mass Market Paperbacks,Romance,30,4
994,Wuthering Heights,EMILY BRONTE,1983,Bantam,Fantasy,32,10
995,The Stars Shine Down,Sidney Sheldon,1993,Warner Books,Romance,44,5
996,Toxin,Robin Cook,1999,Berkley Publishing Group,Self-help,26,9
997,This Present Darkness,Frank E. Peretti,1999,Sagebrush Bound,Self-help,23,9
998,The Mothman Prophecies,John A. Keel,2002,Tor Books,Mystery,56,7
999,Meet the Stars of Buffy the Vampire Slayer,Stefanie Scott,1998,Scholastic,Fantasy,28,3
1000,Rush to the Altar  (Twin Brides),Rebecca Winters,2003,Harlequin,Thriller,49,5
1001,All-American Girl,Meg Cabot,2003,HarperTrophy,Horror,53,5
1002,The Silver Metal Lover,Tanith Lee,1999,Spectra Books,Self-help,43,1
1003,"The Virgin's Secret Marriage   The Brides Of Holly Springs (Harlequin American Romance, No. 997)",Cathy Gillen Thacker,2003,Harlequin,Romance,21,6
1004,A Christmas Story,Richard Burton,1991,W W Norton &amp; Co Inc,Thriller,51,6
1005,Dark Paradise,TAMI HOAG,1994,Bantam,Science Fiction,25,9
1006,Middlesex: A Novel,Jeffrey Eugenides,2003,Picador,Biography,49,5
1007,Somebody Help Me,Beverly Hastings,1993,Berkley Publishing Group,Historical Fiction,20,5
1008,Other worlds: The comical history of the states and empires of the moon and sun (Science fiction master series),Cyrano de Bergerac,1976,New English Library,Fantasy,23,9
1009,Introduction to Fire Prevention (5th Edition),James C. Robertson,2000,Pearson Education,Romance,19,5
1010,To Catch A Sheik  (Desert Brides),Teresa Southwick,2003,Silhouette,Horror,59,8
1011,The Awakening and Selected Stories of Kate Chopin (Signet Classic),Kate Chopin,1995,Signet Book,Thriller,40,4
1012,Ordinary People,Judith Guest,1993,Penguin Books,Fantasy,34,3
1013,The Rainmaker,JOHN GRISHAM,1996,Dell,Biography,17,7
1014,"On The Tycoon's Terms   Do Not Disturb! (Harlequin Presents, 2348)",Sandra Field,2003,Harlequin,Fantasy,19,5
1015,Sleeping Partners  (Nine to Five),Helen Brooks,2003,Harlequin,Biography,16,7
1016,The Real Mother Goose,Blanche Fisher Wright,1994,Scholastic,Thriller,16,2
1017,Toxin,Robin Cook,1998,Putnam Pub Group,Young Adult,43,5
1018,Heathcliff Gone Fishing,George Gately,1985,Diamond Books (NY),Self-help,40,10
1019,The Bad Place,Dean R. Koontz,1994,Berkley Publishing Group,Biography,50,6
1020,Two for Texas,James Lee Burke,2000,Hyperion,Young Adult,50,10
1021,The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,2001,Picador,Fantasy,60,6
1022,Greygallows,Barbara Michaels,1993,Berkley Publishing Group,Young Adult,57,3
1023,Into the Darkness,Barbara Michaels,1996,Berkley Publishing Group,Mystery,18,6
1024,Someone in the House,Barbara Michaels,1989,Berkley Publishing Group,Historical Fiction,42,2
1025,The Phantom Tollbooth,Norton Juster,1993,Yearling Books,Self-help,44,9
1026,Dances With Wolves,Michael Blake,1990,Fawcett Books,Self-help,13,4
1027,The House With a Clock in Its Walls,John Bellairs,1993,Puffin Books,Fantasy,43,9
1028,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers,Horror,42,9
1029,Catnap : A Midnight Louie Mystery (A Midnight Louie Mystery),Carole Nelson Douglas,1993,Forge Books,Romance,31,9
1030,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,1987,Del Rey,Science Fiction,37,6
1031,A Dangerous Place: California's Unsettling Fate (Images of America),Marc Reisner,2003,Pantheon Books,Biography,56,5
1032,Black Hawk Down: A Story of Modern War,Mark Bowden,1999,Atlantic Monthly Press,Self-help,55,6
1033,The Burberry Style,Jonathan Pearce,2002,Infinity Publishing.com,Young Adult,18,1
1034,Heavier Than Air (Balona Books),Jonathan Pearce,2001,Infinity Publishing.com,Biography,43,3
1035,A Little Honesty: Trials and Triumphs of a Prince of Balona,Jonathan Pearce,2001,1stBooks Library,Science Fiction,42,10
1036,The Balona Klongs,Jonathan Pearce,1999,Buy Books on the web.com,Thriller,20,6
1037,Sang Froyd (Balona Books),Jonathan Pearce,1999,1stBooks Library,Thriller,59,4
1038,The Chocolate Korndog,Jonathan Pearce,2002,Infinity Publishing (PA),Self-help,21,7
1039,One Brick Shy,Jonathan Pearce,2000,Infinity Publishing (PA),Horror,58,6
1040,Spring Break,Jonathan Pearce,2000,Infinity Publishing (PA),Horror,41,3
1041,Focusing the Private Eye,Jonathan Pearce,2000,Infinity Publishing (PA),Mystery,49,6
1042,A Cuisine of Leftovers,Jonathan Pearce,2000,Infinity Publishing (PA),Self-help,50,3
1043,Finding Dad,Jonathan Pearce,1999,Infinity Publishing (PA),Romance,32,8
1044,Natural Causes,Michael Palmer,1995,Bantam Books,Historical Fiction,43,1
1045,Degree of Guilt,Richard North Patterson,1995,Ballantine Books,Horror,55,4
1046,Wuthering Heights (Penguin Popular Classics),Emily Bronte,1994,Penguin Books Ltd,Romance,43,1
1047,Emma (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd,Horror,11,1
1048,The Art of Travel,Alain de Botton,2002,Pantheon,Historical Fiction,28,6
1049,SO LONG AND THANKS FOR ALL THE FISH (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1991,Pocket,Romance,13,10
1050,Fight Club,Chuck Palahniuk,1999,Owl Books,Science Fiction,13,9
1051,Wuthering Heights,Emily Bronte,1983,Bantam,Historical Fiction,17,4
1052,SHIPPING NEWS,Annie Proulx,1994,Scribner,Science Fiction,58,1
1053,The Frog King: A Love Story,Adam Davies,2002,Riverhead Books,Fantasy,16,9
1054,Outhouses of Alaska,Harry M. Walker,1996,Epicenter Press,Horror,40,4
1055,The Smoke Jumper,Nicholas Evans,2001,Delacorte Press,Young Adult,44,10
1056,The Unbearable Lightness of Being,Milan Kundera,1988,Harpercollins,Thriller,33,4
1057,A Spell for Chameleon (Xanth Novels (Paperback)),Piers Anthony,1987,Del Rey Books,Young Adult,32,7
1058,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982,Bantam Classics,Romance,45,3
1059,"Das Kurze Leben Der Sophie Scholl (Fiction, Poetry and Drama)",Vinke,0,Ravensburger Buchverlag Otto Maier GmbH,Mystery,40,2
1060,Cloud Atlas : A Novel,DAVID MITCHELL,2004,Random House Trade Paperbacks,Horror,55,8
1061,Everything Is Illuminated : A Novel,Jonathan Safran Foer,2003,Perennial,Science Fiction,52,2
1062,Post Office,Charles Bukowski,1980,Black Sparrow Books,Self-help,43,4
1063,On the Road (Essential.penguin S.),Jack Kerouac,1998,Penguin Books Ltd,Horror,32,8
1064,Hard-Boiled Wonderland and the End of the World: A Novel (Vintage International),Haruki Murakami,1993,Vintage Books USA,Mystery,31,1
1065,Norwegian Wood (Vintage International Original),Haruki Murakami,2000,Vintage Books USA,Fantasy,25,10
1066,A Little Princess,Frances Hodgson  Burnett,1996,Pages Publishing Group,Romance,40,5
1067,Talking to Dragons (Enchanted Forest Chronicles (Paperback)),Patricia C. Wrede,1995,Point Fantasy,Self-help,57,1
1068,The Call of the Wild: And Selected Stories (Signet Classics (Paperback)),Jack London,1998,Signet Classics,Thriller,22,1
1069,A Life God Rewards for Teens (The Breakthrough Series),Bruce Wilkinson,2002,Multnomah,Horror,16,10
1070,Calling on Dragons (Read with Me Paperbacks),Patricia C. Wrede,1994,Point Fantasy,Horror,54,6
1071,A Temporary New Wife,Malcolm Goodway,2004,AuthorsOmniscient Publishers,Fantasy,16,10
1072,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,2002,Touchstone,Mystery,44,2
1073,Reap the Wind,Iris Johansen,2002,Bantam Books,Self-help,53,5
1074,The Survivors Club,LISA GARDNER,2003,Bantam,Self-help,53,6
1075,Sins of Omission,FERN MICHAELS,1989,Ivy Books,Horror,17,6
1076,White Lies,Linda Howard,1997,Mira,Horror,29,7
1077,Random Winds,Belva Plain,1987,Dell,Thriller,39,5
1078,The Carousel,Belva Plain,1998,Dell,Horror,59,7
1079,While I Was Gone,Sue Miller,1999,Ballantine Books,Romance,27,5
1080,Grass,Sheri S. Tepper,1990,Spectra Books,Historical Fiction,38,8
1081,One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself Beginner Books),DR SEUSS,1960,Random House Books for Young Readers,Self-help,16,5
1082,This Boy's Life: A Memoir,Tobias Wolff,1989,Perennial,Fantasy,29,8
1083,Zlateh the Goat and Other Stories,Isaac Bashevis Singer,1984,HarperCollins Publishers,Biography,47,3
1084,Winter's Tale,Mark Helprin,1995,Harvest Books,Mystery,25,1
1085,The Dancing Wu Li Masters: An Overview of the New Physics,Gary Zukav,1994,Bantam Books,Science Fiction,19,8
1086,The World According to Garp (Ballantine Reader's Circle),John Irving,1997,Ballantine Books,Thriller,22,8
1087,Farewell To Arms,Ernest Hemingway,1995,Scribner,Young Adult,30,2
1088,"The American Constitution: Its Origins and Development, Seventh Edition, Volume II",Alfred H. Kelly,1991,W. W. Norton &amp; Company,Biography,37,1
1089,Collected Works of Emile Zola,Emile Zola,2001,Chatto &amp; Windus,Science Fiction,50,6
1090,Plato Complete Works,Plato,1997,Hackett Publishing Company,Mystery,40,4
1091,The Twenty-Seventh City : A Novel (Bestselling Backlist),Jonathan Franzen,2001,Picador,Mystery,20,1
1092,"Cat (kat), n",B Kliban,1975,Workman Pub. Co,Young Adult,51,2
1093,Breaking Clean,JUDY BLUNT,2002,Knopf,Horror,46,10
1094,Felicia's Journey,William Trevor,1996,Penguin Books,Fantasy,52,8
1095,Possessing the Secret of Joy,Alice Walker,1993,Pocket,Romance,22,6
1096,History of Croatia,Stephen Gazi,0,Barnes Noble Books,Mystery,11,10
1097,Angle of Repose (Contemporary American Fiction),Wallace Stegner,1992,Penguin Books,Science Fiction,27,1
1098,White Noise (Contemporary American Fiction),Don DeLillo,1991,Penguin Books,Thriller,57,9
1099,Invisible Man,Ralph Ellison,1995,Vintage Books USA,Thriller,52,6
1100,Of Love and Shadows,Isabel Allende,1988,Bantam Books,Historical Fiction,59,2
1101,The House of the Spirits,Isabel Allende,1986,Bantam Books,Romance,58,3
1102,Where the Sidewalk Ends : Poems and Drawings,Shel Silverstein,1974,HarperCollins,Self-help,27,7
1103,Interpreter of Maladies,Jhumpa Lahiri,1999,Houghton Mifflin Co,Mystery,42,8
1104,Glorious Country: Food Crafts Decorating,Liz Trigg,1995,Natl Book Network,Fantasy,42,2
1105,Loving,Charles Sullivan,1992,Harry N Abrams,Self-help,28,6
1106,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,Perennial,Biography,47,5
1107,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press,Young Adult,41,8
1108,JITTERBUG PERFUME,TOM ROBBINS,1985,Bantam,Romance,55,7
1109,STONES FROM THE RIVER,Ursula Hegi,1997,Simon &amp; Schuster,Biography,45,5
1110,Clarissa (abridged),Samuel Richardson,1962,Houghton Mifflin Company,Young Adult,12,6
1111,Italian Fever: A Novel,Valerie Martin,2000,Vintage Books USA,Science Fiction,52,1
1112,One Hundred Years of Solitude,Gabriel Garcia Marquez,1970,Avon Books,Thriller,57,8
1113,The Illustrated Encyclopedia of Buddhist Wisdom,Gill Farrer-Halls,2000,Quest Books,Young Adult,54,5
1114,Common Phrases: And Where They Come From,John Mordock,2001,The Lyons Press,Thriller,26,6
1115,"Notions And Potions: A Safe, Practical Guide To Creating Magic &amp; Miracles",Susan Bowes,1997,Sterling Publishing,Young Adult,15,6
1116,Dragonfly in Amber,DIANA GABALDON,1993,Dell,Biography,42,7
1117,Naked,David Sedaris,1998,Back Bay Books,Biography,37,6
1118,White Teeth,Zadie Smith,2000,Random House,Historical Fiction,38,6
1119,Writing Down the Bones,NATALIE GOLDBERG,1986,Shambhala,Self-help,24,2
1120,"K Is for Killer (Grafton, Sue. Kinsey Millhone Mysteries.)",Sue Grafton,1994,Henry Holt &amp; Company,Horror,21,7
1121,Ironweed,William J. Kennedy,1989,Penguin Books,Young Adult,19,7
1122,Swimming in the Volcano: A Novel,Bob Shacochis,1994,Penguin Books,Romance,20,1
1123,The Grapes of Wrath,John Steinbeck,1976,Penguin USA,Fantasy,44,8
1124,The Grace and Truth Paradox: Responding with Christlike Balance,Randy Alcorn,2003,Multnomah,Fantasy,32,7
1125,The Best Thing I Ever Did for My Marriage : 50 Real Life Stories,Nancy Cobb,2003,Multnomah,Fantasy,19,1
1126,Kreutzersonate. Eine Liebesgeschichte,Margriet de Moor,2002,Hanser,Biography,31,8
1127,Tollivers Reisen. Stadtgeschichten IV.,Armistead Maupin,1995,Rowohlt Tb.,Horror,60,4
1128,"HOW TO WIN FRIENDS, REVISED",Dale Carnegie,1981,Simon &amp; Schuster,Horror,54,3
1129,CUCKOO'S EGG,Clifford Stoll,1990,Pocket,Science Fiction,47,6
1130,Kiss the Girls,James Patterson,1995,Warner Books,Self-help,51,8
1131,Different Seasons,Stephen King,1983,Penguin Putnam~mass,Horror,28,3
1132,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993,Ballantine Books,Young Adult,34,4
1133,Jack &amp; Jill (Alex Cross Novels),James Patterson,1997,Warner Books,Fantasy,39,2
1134,Vittorio the Vampire: New Tales of the Vampires,Anne Rice,2001,Ballantine Books,Fantasy,46,3
1135,The House on Mango Street (Vintage Contemporaries),SANDRA CISNEROS,1991,Vintage,Science Fiction,54,3
1136,My Life in Dog Years,Gary Paulsen,1999,Yearling Books,Horror,25,2
1137,Black Gold,Marguerite Henry,1992,Aladdin,Young Adult,30,9
1138,Red Unicorn (Tor Fantasy),Tanith Lee,1998,Tor Books,Horror,12,1
1139,The Silent Storm: Scholastic Edition,Sherry Garland,1996,Harcourt,Self-help,42,4
1140,Black Rainbow,Barbara Michaels,1994,Berkley Publishing Group,Historical Fiction,35,2
1141,The Demon-Haunted World: Science As a Candle in the Dark,Carl Sagan,1997,Ballantine Books,Thriller,13,6
1142,"Teen Love:  On Relationships, A Book for Teenagers",Kimberly Kirberger,1999,Health Communications,Biography,51,2
1143,On The Verge (Red Dress Ink (Paperback)),Ariella Papa,2002,Red Dress Ink,Mystery,39,9
1144,Chaser: A Novel in E-Mails,Michael J. Rosen,2002,Candlewick Press (MA),Fantasy,49,5
1145,Cool Women,Dawn Chipman,1997,Girl Press,Romance,39,7
